,tweet
0,Ya nosé que película ver en Netflix😭
1,Para toda la banda que estaba esperando. #elchema llega a Netflix el 1 de julio. #Lopez #DEA. @… https://t.co/gP41m9Tyah
2,Lo siento cuerpo pero este clima amerita café y Netflix.
3,Les dejo el trailer oficial de #LastChanceU 2a temporada en #Netflix 21 de julio https://t.co/7da9PwAbZv 🤜🏈
4,Lol xd les faltó engordar al Chapo en Netflix. Me pregunto si Kate saldrá haciendo de ella misma xdddd https://t.co/El3XhpMLTO
5,Estados | Abogado de El Chapo demandará a Univisión y Netflix por serie - Diario Oaxaca https://t.co/6QriivcplT vía @diarioaxaca https://t.co/qxomJ6c1nL
6,"Cada vez que veo una serie en netflix me olvido de todo el mundo, de wats, de youtube de face de que hay mas seres humanos afuera jajajaja"
7,Vacaciones nivel: voy a ver él primer episodio de El Chapo en Netflix para ver que pedo.
8,¡Ay Netflix! ¿Cómo decirte que no? https://t.co/7MDbPoktVD
9,"@Morita_M_V @oswyman Noooooo, he estado viéndolas en netflix, vengan a mi depa y las vemos juntos 🙃"
10,@Densho siempre si el 1 de julio one punch man por Netflix
11,"Mis hermanas se emocionan por los estrenos de Netflix, será una lástima que suspenda mi cuenta…"
12,"Con este calor , el clima Netflix y una copa de vino 🍷☀️🍿"
13,Recomiéndenme películas que estén en Netflix.
14,"Abogado de 'El Chapo' demandará a Netflix 😱 

La nota https://t.co/pwUhm53GBH"
15,"Deberian subir las sesiones del pleno de la @SCJN a @Netflix, o bueno más bien a @blim"
16,"No te pierdas ""Air"" en Netflix
https://t.co/INUnQLMogi  @NetflixLAT"
17,Quiero hacer ejercicio en las tardes pero también quiero ver netflix con mi boyfriend como le hago?
18,@ArtLawliet @josemich0406 No te preocupes ya falta poco y llorare de nuevo pero ahora con Netflix uwu
19,"Ya está The Space Between Us en Netflix 😏
Al fin te veré @asabfb :v
Ahora solo me faltaría ver X plus Y y esa es la que más quería :'v"
20,"Para demostrar en forma dramática que el Cambio Climático si existe y es muy preocupante, vean en Netflix el documental: ""Chasing Ice""."
21,momento de seguir con mis capitulos pendientes en #Netflix https://t.co/3oVjf3dTig
22,"'El 'Chapo' quiere negociar con Netflix por serie sobre su vida'
https://t.co/Fc2siCOWv2 https://t.co/7nLM9L3Gzt"
23,Chingada madre ya no está Amarte Duele en Netflix.
24,"Quiero mi casa, mi cama, una cobija &amp; Netflix ahora mismo! 😴😴😴"
25,@WarnerChannelLA están quitándole minutos a los episodios de las series para poner más comerciales? Por eso prefiero Netflix.
26,"""Netflix te deja decidir el final de algunas de sus series"" https://t.co/yRAD2FVwCF"
27,El Chapo hasta los 4 episodios que llevo es igual de buena que Narcos. Hasta para hacer ' narco-series ' Netflix hace buenas producciones.
28,"#Fama Estas series y películas llegarán a Netflix en julio
Más en → https://t.co/J49vx7Rr6W https://t.co/d4emjDV2uB"
29,@Tavaresmaxima También tu ya estás medio viernes hijo la Netflix
30,"Entre Netflix, spotify y uber me van a dejar en la ruina, más."
31,Netflix lanzó la primera de sus tres producciones interactivas de este año https://t.co/jj8mWfL4ae
32,"TIENEN que ver en Netflix @wthfilm , tenemos que saber que es lo que estamos comiendo!"
33,"Me desvelé horrible viendo #EastSiders está bastante buena. Vi las dos temporadas en 2 días, no podía dejar de verla, está en Netflix. https://t.co/kMpcTCTVyF"
34,"Quité netflix para dormirme y estaba caso cerrado, y aquí estoy a las 2:40 am viendo quién va a ganar la custodia de un perrito"
35,ES DE SIRVIENTAS que usen tu cuenta de Netflix para ver sus series nacas de narcotraficantes!
36,"llevo como cinco años sin ver netflix porque mis controles del xbox no sirven y la app no agarra, estoy muy triste x eso"
37,"No puedo dormir, necesito ver Bob Esponja pero los capítulos qué hay en Netflix están dlv :("
38,Disfruten.yo festejaba a mi princesa y Netflix es uno de mis vicios https://t.co/atG3R77odm
39,Recomiéndenme una peli en Netflix 🎬
40,La relación más larga y estable que he tenido ha sido con Netflix.
41,Pues busque la de peli de Tomates verdes fritos en Netflix y NADA 😰 wtf??
42,"Super pain in the ass estar capacitando mecos en el jale, la netflix. #grindingmygears"
43,"Ya no se que ver en Netflix, ayudaaaa"
44,MWES — Netflix: 10 películas que no querrás ver con tus padres https://t.co/YrTPjvMmAi
45,"MWES — Netflix: 10 películas que no querrás ver con tus padres - El mundo del cine es tan amplio, que temas como la… https://t.co/Vf7UzJmQ3w"
46,"@Ge_orgy_a, si tenes #Netflix ya podrás ver la serie de nuevo. https://t.co/NsiVd47GNr"
47,Esto pronto tendrá más color!! Salvo Luke Cage :P #Defenders #Netflix #Marvel https://t.co/8LdjhHEU9V
48,#RecadoAMiEx cual es la clave del #netflix?
49,Antes el 2 de julio era un día que me emocionaba mucho ahora sólo significa que ese día me quitan lie to me de Netflix
50,"Tantas pinches películas en Netflix y justo la que yo quiero ver, está ""teniendo problemas para reproducir ese título""😤 https://t.co/MRfP9BzcrY"
51,"@jorgeavilam Si no quieres ver la serie del Chapo pues no la veas,y si tampoco quieres contratar netflix pues no lo contrates,tenemos esas dos opciones."
52,Amé #LasChicasDelCable 😍 gracias Netflix!
53,"Lo mejor que ha subido Netflix.
https://t.co/9ZytNspxiO"
54,¿Alguna película de comedia sin drama que esté en Netflix? URGE
55,Voy a ver la Tv(no hay señal) bueno netflix(tampoco internet) gracias @Megacable por dejarme en la Edad de Piedra sin respuesta @Profeco
56,Llegó a México la competencia de @netflix Se llaman Nexflit y es lo último en tecnología. https://t.co/IpjBkM6HBj
57,"Antes era culpa de Televisa, ahora es culpa de Netflix. Hay gente a la que no le cae el 20, ni pinta para que le caiga pronto 😂😂😂 https://t.co/qU2eOKenLt"
58,#LoMásLeído de #Nacional » Defensa del 'Chapo' pedirá revisar serie de Netflix https://t.co/IQuOvWhjDX
59,Pelis para llorar de amors en Netflix
