user_name,verified,location,friends,followers
OctavioAguayo1,False,CDMX ,1151,397
alosianv,True,0,111,35654
netnoticiasmx,False,Cd. Juarez / Chih,2561,7790
gcmmemo,False,"Distrito Federal, México",2245,776
soy_sputnik,False,Monterrey / Ciudad de México,944,33881
azphirin,False,"Buenos Aires, Argentina",246,639
EmmanuelEsquerL,False,México,141,98
RANAKILLER69,False,puebla,322,177
ALPONCHINO,False,"guadalajara jalisco, mexico ",1160,973
friddagzz,False,0,368,1010
kartuzita,False,0,161,340
dul_any_rbd,False,España,392,1508
Isaac_930,False,"Tepic, Nayarit México ",150,170
Many_manyto,False,"Irapuato, Guanajuato",995,999
WendyReyesCa,False,Mexico,701,1162
LaGiselleC,False,"Hermosillo, Sonora",210,419
Rmonz,False,0,409,610
Lilianlopezalon,False,0,435,2138
ethelaldrete,False,"Querétaro Arteaga, México",675,921
SuarezzPao,False,"Celaya, Guanajuato, México",134,133
Soullessg,False,Death Star,283,142
st1ckyf1ng3r5,False,"Berga, España",345,1703
DeporteTotal_Mx,False,México,788,387
rafaelvolta,False,"Querétaro, Qro",1023,931
YoshioEduRB,False,"Veracruz, Mexico",253,240
Gaeels,False,0,657,1494
LePatrisha,False,HMO,1168,825
1lool4,False,0,204,23
KarenTost,False,MysticFalls,527,1197
DeiviD_GA,False,CDMX,762,1826
ELPAJANAVARRO,False,0,2539,1867
IrvingFlores,False,Follows you,292,614
liclechitas10,False,0,1534,574
AlonsMarvin,False,0,31,20
pablodanielGlez,False,Ciudad de México,736,869
NegritoMerodio,False,0,158,42
LissaDaneli,False,Asteroide B12,238,246
ferdinandgalazm,False,México,1140,966
Drama_andi,False,"Guadalajara, Jalisco",1411,1535
caballonegro,False,Monterrey México,987,5944
AJBalor25,False,"Aguascalientes, México",1114,511
fiTCH_A17,False,"Vilnius, Lithuania",1303,266
RanaFonk,False,México DF,3148,6094
Shakeit_Kristof,False,"Atizapán de Zaragoza, México",1490,1664
OphCourse,True,Benito Juárez,21194,423957
FaLLo_VeLa,False,Nanchital de Lázaro Cárdenas d,2878,1107
polito15,False,cd. victoria Tmps,236,123
alison_guizar,False,"Guadalajara, Jalisco",492,246
VictorEstradaMX,False,"Querétaro Arteaga, México",161,123
Mariana_RGuerra,False,"Aguascalientes, México",453,558
LuisG4llardo,False,0,441,203
Jonathan_Floyd,False,0,939,267
vane_bam,False,CDMX,395,317
oye_marian,False,0,285,437
marourivero,False,"Buenos Aires, Argentina",846,23912
c_alzg,False,"Guadalajara, Jalisco",602,163
sanndrabrown,False,city is my church,612,687
MarcosAmezquita,False,"Guadalajara, Jalisco",839,551
ErikSandovalR,False,Durango Mx,1358,782
alepetl,False,Hogwarts,721,429
PinkZummer,False,México,741,1106
mexicoalacarta1,False,"Centro de la Ciudad de México, Cuauhtémoc",3777,5559
SinnViso,False,Hidalgo💕/Qro 🖤,393,203
soyangeldz,False,0,170,264
VictorSPL,False,0,656,511
ifervilchis,False,"Tamaulipas, México",465,766
FreakTalkPod,False,0,796,324
zurya23,False,Everywhere ,190,213
VanSinHell,False,Mordor ,3346,2450
FatimaSv_,False,0,827,2114
rodmramos,False,México,824,140
nopleaseluls,False,✬Hogwarts✬,2281,1017
luis_armstrongg,False,"Monterrey,México",477,148
jflp_,False,Mexico,716,1234
sammy_hell,False,neverLand,615,211
Montse_haash,False,Mexico,1034,1408
eduardobonola,False,0,833,214
Aide_Cortes,False,Irapuato/León,376,747
anapaolalp,False,México,688,1109
estef_hdzc,False,"Monterrey, Nuevo León",402,512
memy25,False,México,457,1560
davidnmws,False,City of Mexico - Sonora,1034,1514
dian_hva,False,0,167,193
mapilo,False,México,557,539
Andreafromerm,False,0,136,528
jorgefsb,False,Guadalajara,2949,2381
marifersita31,False,CDMX,461,359
_missamnesia,False,qro,740,830
daniela12_HA,False,0,529,37
aschiari,False,0,483,1079
tonio_campos,False,0,740,380
michgcs,False,"Sonora, México",673,936
miguelbeas_9,False,0,78,16905
SariluEsquivel,False,"Monclova, Coahuila de Zaragoza",158,4955
pau_hmartinez,False,0,400,173
renatagzra,False,"New York, USA",284,127
Kepg07,False,Monterrey,178,419
MoisesAlvestam,False,"Colima, México",310,397
j07c,False,"Guadalajara, Jalisco",1041,469
MichellSerapioD,False,Maroon 5 ,297,908
are10delgado,False,"Columbus, GA",388,640
yzmn26,False,0,2400,2836
LOvmemee,False,Nuevo Laredo♡ SnoopytaLaredo,1008,3503
alejandramrgz,False,Ciudad de México,639,1225
HolaMarianela,False,"Chihuahua, México",495,610
FeerHarden,False,Mex,407,324
clauontiverosm,False,"Edinburgh, Scotland",506,514
janinaortega4,False,"Los Angeles, CA",275,599
JCarlosGlezs,False,México D.F.,996,236
FranciscoGlezCe,False,Ciudad de México,115,155
andreaAPinales,False,"Guadalajara, Jalisco",396,438
JorgeColl,False,"Distrito Federal, México",1409,2646
DanielPulidoA,False,"Toluca, México",3879,1111
elreytriston,False,0,1077,2764
NazVega,False,Riviera Maya ,93,143
eduardomunive_,False,"Puebla, MX",698,390
giovas11,False,DeFrock!,306,696
ClaudiaMartinet,False,"Acapulco Guerrero, México.",1783,367
marlenetostado,False,0,341,727
massielcorona,False,"Hermosillo, Sonora",676,1224
informador_ENT,False,"Guadalajara, Jalisco",436,47271
YoSoyJhon,False,"Puebla, México",428,194
jenniferbarc,False,1725 Slough Avenue,451,959
Laurareyna94,False,"Victoria, Tamaulipas",231,1848
bruja1mpostora,False,"Puebla, México",605,306
annyeprs,False,SLP,742,230
MauRicio12_4,False,Anteriro DeFectuoso,234,135
Jorge_Fimbres,False,"Hermosillo, Sonora",372,767
barbaraaVg,False,"Saltillo, Coahuila de Zaragoza",277,629
luis_gj106,False,0,257,163
florencia_tres,False,0,939,181
Lalo_YoSoy,False,0,169,245
